sample	filename	round2plate	round1index	well	experiment	group	plate	biosample1	biosample2	passage	media	ratio	inoculationReplicate	extractionReplicate	cultureID	stockID	bioTyperDate	bioTyperClassification
e0015-0-A-A1	16S-A-A1-L0	A	0	A1	e0015	e0015-e0016-e0020-e0022	HKX036	XAA-002	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-B1	16S-A-B1-L0	A	0	B1	e0015	e0015-e0016-e0020-e0022	HKX036	XAA-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-C1	16S-A-C1-L0	A	0	C1	e0015	e0015-e0016-e0020-e0022	HKX036	XAA-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-D1	16S-A-D1-L0	A	0	D1	e0015	e0015-e0016-e0020-e0022	HKX036	XAA-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-E1	16S-A-E1-L0	A	0	E1	e0015	e0015-e0016-e0020-e0022	HKX036	XAC-002	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-F1	16S-A-F1-L0	A	0	F1	e0015	e0015-e0016-e0020-e0022	HKX036	XAC-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-G1	16S-A-G1-L0	A	0	G1	e0015	e0015-e0016-e0020-e0022	HKX036	XAC-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-H1	16S-A-H1-L0	A	0	H1	e0015	e0015-e0016-e0020-e0022	HKX036	XAC-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-A2	16S-A-A2-L0	A	0	A2	e0015	e0015-e0016-e0020-e0022	HKX036	XAD-002	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-B2	16S-A-B2-L0	A	0	B2	e0015	e0015-e0016-e0020-e0022	HKX036	XAD-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-C2	16S-A-C2-L0	A	0	C2	e0015	e0015-e0016-e0020-e0022	HKX036	XAD-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-D2	16S-A-D2-L0	A	0	D2	e0015	e0015-e0016-e0020-e0022	HKX036	XAD-063	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-E2	16S-A-E2-L0	A	0	E2	e0015	e0015-e0016-e0020-e0022	HKX036	XBA-022	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-F2	16S-A-F2-L0	A	0	F2	e0015	e0015-e0016-e0020-e0022	HKX036	XBA-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-G2	16S-A-G2-L0	A	0	G2	e0015	e0015-e0016-e0020-e0022	HKX036	XBA-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-H2	16S-A-H2-L0	A	0	H2	e0015	e0015-e0016-e0020-e0022	HKX036	XBA-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-A3	16S-A-A3-L0	A	0	A3	e0015	e0015-e0016-e0020-e0022	HKX036	XBB-022	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-B3	16S-A-B3-L0	A	0	B3	e0015	e0015-e0016-e0020-e0022	HKX036	XBB-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-C3	16S-A-C3-L0	A	0	C3	e0015	e0015-e0016-e0020-e0022	HKX036	XBB-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-D3	16S-A-D3-L0	A	0	D3	e0015	e0015-e0016-e0020-e0022	HKX036	XBB-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-E3	16S-A-E3-L0	A	0	E3	e0015	e0015-e0016-e0020-e0022	HKX036	XCA-001	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-F3	16S-A-F3-L0	A	0	F3	e0015	e0015-e0016-e0020-e0022	HKX036	XCA-028	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-G3	16S-A-G3-L0	A	0	G3	e0015	e0015-e0016-e0020-e0022	HKX036	XCA-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-H3	16S-A-H3-L0	A	0	H3	e0015	e0015-e0016-e0020-e0022	HKX036	XCA-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-A4	16S-A-A4-L0	A	0	A4	e0015	e0015-e0016-e0020-e0022	HKX036	XCB-001	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-B4	16S-A-B4-L0	A	0	B4	e0015	e0015-e0016-e0020-e0022	HKX036	XCB-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-C4	16S-A-C4-L0	A	0	C4	e0015	e0015-e0016-e0020-e0022	HKX036	XCB-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-D4	16S-A-D4-L0	A	0	D4	e0015	e0015-e0016-e0020-e0022	HKX036	XCB-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-E4	16S-A-E4-L0	A	0	E4	e0015	e0015-e0016-e0020-e0022	HKX036	XDA-001	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-F4	16S-A-F4-L0	A	0	F4	e0015	e0015-e0016-e0020-e0022	HKX036	XDA-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-G4	16S-A-G4-L0	A	0	G4	e0015	e0015-e0016-e0020-e0022	HKX036	XDA-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-H4	16S-A-H4-L0	A	0	H4	e0015	e0015-e0016-e0020-e0022	HKX036	XDA-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-A5	16S-A-A5-L0	A	0	A5	e0015	e0015-e0016-e0020-e0022	HKX036	XDB-001	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-B5	16S-A-B5-L0	A	0	B5	e0015	e0015-e0016-e0020-e0022	HKX036	XDB-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-C5	16S-A-C5-L0	A	0	C5	e0015	e0015-e0016-e0020-e0022	HKX036	XDB-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-D5	16S-A-D5-L0	A	0	D5	e0015	e0015-e0016-e0020-e0022	HKX036	XDB-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-E5	16S-A-E5-L0	A	0	E5	e0015	e0015-e0016-e0020-e0022	HKX036	XEA-001	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-F5	16S-A-F5-L0	A	0	F5	e0015	e0015-e0016-e0020-e0022	HKX036	XEA-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-G5	16S-A-G5-L0	A	0	G5	e0015	e0015-e0016-e0020-e0022	HKX036	XEA-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-H5	16S-A-H5-L0	A	0	H5	e0015	e0015-e0016-e0020-e0022	HKX036	XEA-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-A6	16S-A-A6-L0	A	0	A6	e0015	e0015-e0016-e0020-e0022	HKX036	XEB-001	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-B6	16S-A-B6-L0	A	0	B6	e0015	e0015-e0016-e0020-e0022	HKX036	XEB-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-C6	16S-A-C6-L0	A	0	C6	e0015	e0015-e0016-e0020-e0022	HKX036	XEB-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-D6	16S-A-D6-L0	A	0	D6	e0015	e0015-e0016-e0020-e0022	HKX036	XEB-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-E6	16S-A-E6-L0	A	0	E6	e0015	e0015-e0016-e0020-e0022	HKX036	XFA-001	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-F6	16S-A-F6-L0	A	0	F6	e0015	e0015-e0016-e0020-e0022	HKX036	XFA-029	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-G6	16S-A-G6-L0	A	0	G6	e0015	e0015-e0016-e0020-e0022	HKX036	XFA-036	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-H6	16S-A-H6-L0	A	0	H6	e0015	e0015-e0016-e0020-e0022	HKX036	XFA-064	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
e0015-0-A-A7	16S-A-A7-L0	A	0	A7	e0015	e0015-e0016-e0020-e0022	HKX036	XFB-001	NA	0	mBHI-mucin	NA	1	1	NA	NA	NA	NA
